fullname,age,department,salary,marital_status,gender
Kendra Smith,35,Marketing,71608.07,single,male
Christina Dyer,24,Operations,75465.74,married,male
Patrick Wood,58,Marketing,102131.6,married,male
Brandi Bridges,39,Human Resource,88411.8,married,male
Tyler Lopez,24,Human Resource,58815.25,married,male
Sean Adams,31,Human Resource,116734.05,married,male
Barbara Delacruz,34,Human Resource,104665.26,single,male
Kelly Arnold,30,Information Technology,88523.18,single,male
Carol Romero,60,Finance,95188.32,single,male
Alexis Dean,63,Human Resource,40853,married,male
Crystal Liu,33,Operations,119938.96,married,male
Tyler Small,23,Information Technology,98145.06,single,female
Kathryn Fox,42,Human Resource,92444.44,single,female
Jeffrey Love Jr.,33,Marketing,53604.28,single,female
Howard Harper,44,Operations,79223.1,single,male
Nicholas Johnson,39,Information Technology,76911.44,single,male
Holly Patel,25,Information Technology,103271.26,married,female
Frances Poole,53,Operations,113616.68,married,female
Gavin Reeves,21,Operations,38736.39,single,male
Sherry Thomas,50,Human Resource,53824.19,single,male
Kelly Henry,60,Operations,67083.89,single,female
Benjamin King,25,Operations,57734.19,married,female
Brent Ramos,58,Human Resource,70035,single,female
Raymond Garcia,19,Information Technology,117564.62,single,female
Jared Davis,22,Human Resource,33787.69,married,female
Eric Jacobson,25,Human Resource,53782.8,married,female
Lisa Butler,38,Information Technology,69953.01,married,male
Jack Hill,35,Information Technology,63656.58,married,male
Nicholas Gomez,52,Finance,93509.7,single,female
Troy Mccormick,65,Human Resource,45869.86,single,female
Stephanie Carroll,60,Finance,79259.05,single,female
Zachary Huff,50,Information Technology,89113.86,married,female
Monica Wilkinson,62,Operations,98761.92,married,male
Robert Clayton,31,Information Technology,40411.65,single,female
John Hester,51,Finance,106206.45,married,female
Lindsey Smith,41,Human Resource,58524.22,single,female
Joan Jones PhD,54,Marketing,31446.09,married,male
Jennifer Lucas,36,Finance,103144.96,single,female
Tommy Carter,20,Marketing,97719.04,married,female
Cynthia Harmon,50,Finance,67905.65,single,female
Michael Branch,24,Information Technology,88014.35,married,male
Dana Smith,42,Marketing,43201.53,married,female
Amber Duffy,19,Finance,70741.4,married,male
Vanessa Hanson,44,Human Resource,93984.62,single,female
Daniel Wagner,25,Marketing,101675.52,single,male
Brittany Reyes,51,Finance,66545.46,married,male
Daniel Pace,57,Human Resource,92477.13,single,male
Jerome Day,24,Operations,111963.37,married,female
Robert Spencer,24,Finance,50348.83,single,female
John Miller,44,Operations,39903.11,married,male
Linda Taylor,19,Human Resource,58048.82,married,female
Jeanette Ayala,36,Marketing,75771.83,single,male
Ariel Baker,34,Marketing,41323.58,married,female
Mark Schwartz,42,Finance,63588.21,single,female
Shaun Silva,47,Marketing,45189.43,single,male
Jamie Callahan,20,Information Technology,67638.03,married,male
Renee Hopkins,44,Operations,47129.29,single,male
Erik Gentry,42,Operations,36498.49,single,female
Daniel Moore,47,Information Technology,44298.38,married,female
Cheryl Booth,23,Finance,54328.84,married,male
Peter Meyer,43,Marketing,61536.14,single,male
Anthony Taylor,28,Human Resource,41340.78,married,male
Amy Cox,55,Operations,113949.54,married,male
Emily Berger,53,Marketing,34808.37,married,female
Holly Henderson,61,Information Technology,37518.64,married,male
Sheri Robinson,18,Finance,41595.77,married,female
Scott Ward,32,Operations,58477.62,married,female
Paul Hess,34,Information Technology,118931.75,single,female
Victoria Nelson,59,Marketing,48502.21,single,female
Carl Conner,30,Information Technology,44193.88,single,female
Elizabeth Rhodes,48,Marketing,92344.86,single,female
Benjamin Hamilton,62,Operations,71981.12,married,female
Joseph Knight,43,Human Resource,47154.74,single,male
Michelle Thompson,29,Marketing,48094.22,single,male
Peggy Koch,62,Information Technology,71413.5,single,male
David Baker,50,Operations,41002.86,married,male
Nathan Moore,61,Human Resource,55947.15,single,male
Barbara Mcclain,22,Information Technology,37617.61,married,male
Taylor Fowler,31,Operations,70259.9,married,male
Elizabeth Garrett,35,Information Technology,92938.71,married,male
Benjamin Howard,52,Marketing,94202.99,married,female
Victoria Cunningham,49,Marketing,96106.45,married,female
Andrea Reyes,31,Human Resource,65327.77,married,female
Cheryl Burton,57,Human Resource,41766.15,married,male
Austin Davis,39,Information Technology,46148.64,single,male
Dr. Sandra Valencia PhD,37,Information Technology,96939.05,married,female
Wanda Andrade,35,Marketing,36956.2,single,female
Benjamin Garcia,61,Human Resource,111262.3,single,male
Michael Sanchez,37,Human Resource,117053.75,married,male
Ashley Martinez,27,Operations,77456.56,married,male
James Stevens,24,Information Technology,35990.51,married,female
Patricia Jackson,55,Marketing,106528.23,single,male
Mrs. Allison Hernandez,57,Human Resource,87034.26,married,male
Kevin Rogers,48,Marketing,102097.56,single,female
Elizabeth White,33,Operations,61463.95,married,male
Maria Park,27,Marketing,102058.1,single,male
Elizabeth Burnett,35,Operations,51006.09,single,male
Adam Green,34,Marketing,54464.17,single,male
George Harris,44,Marketing,113172.82,married,male
Elizabeth Perkins,63,Finance,114885.73,married,female
Jordan Flores,54,Operations,80775.93,single,male
Walter Torres,62,Finance,71042.87,single,male
Larry Hernandez,29,Information Technology,42810.17,single,female
Vicki Bradley,34,Marketing,48561.78,single,male
Jordan Moore,44,Human Resource,68345.85,married,male
Michael Wallace,59,Operations,35753.34,single,male
Timothy Richards,45,Marketing,101421.18,single,female
Robin Hicks,43,Finance,49646.33,single,male
Clayton Williams,59,Marketing,35898.96,single,male
Vernon Delacruz,56,Information Technology,118496.34,single,female
Matthew Stevens,60,Marketing,87797.06,married,male
Jared Jones,35,Information Technology,93444.77,single,female
Christopher Ortiz,29,Information Technology,34996.8,married,male
Michelle Lara,21,Marketing,101781.34,single,female
Madison Gonzales,53,Operations,72736.94,single,female
Dylan Lopez,55,Finance,48791.25,married,male
Deanna Ortiz,33,Human Resource,89729.19,married,female
Lisa Ramos,26,Operations,107917.67,single,female
Mark Smith,21,Information Technology,77190.07,married,female
Sara Foley,32,Marketing,50635.26,single,female
Grace Watkins,19,Marketing,73590.61,married,female
Christina Wallace,58,Operations,98009.26,married,female
Charles Powell,61,Finance,90555.59,married,female
Heather Lee,57,Information Technology,91114.42,single,male
Julie Rodriguez,30,Information Technology,91053.18,married,female
Michelle Stokes,31,Operations,55722.55,single,male
Mrs. Emily Callahan MD,43,Marketing,65997.95,single,male
Martin Taylor,40,Marketing,87966.8,single,male
Timothy Brown,48,Operations,31060.81,married,female
Jared Palmer,35,Marketing,106714.53,single,male
Elizabeth Bauer,62,Information Technology,109217.47,married,male
Jessica Aguirre,65,Marketing,108936.5,single,female
David Kelly,49,Marketing,106113.96,single,male
Brittany Mccarthy,18,Operations,68020.02,single,male
Angela Lopez,24,Marketing,49527.13,single,female
Daniel Brown,63,Human Resource,59755.82,single,female
Megan Peters,57,Human Resource,90364.88,married,male
Mrs. Joanne Schneider MD,41,Marketing,35703.67,single,male
Tiffany Williams,28,Human Resource,76644.78,married,female
John Vega,63,Operations,86013.24,married,male
Nicholas Hill,37,Marketing,101608.39,single,female
William Lutz,31,Information Technology,97531.74,married,male
John Nguyen,43,Finance,116717.61,married,female
Kathryn Richardson,60,Finance,65703.84,single,female
Cheryl Baxter,63,Information Technology,37732.53,married,female
Travis Coleman,50,Operations,88369.29,married,male
Laurie Jones,54,Information Technology,84332.46,married,male
Joshua Ryan,28,Marketing,36549.41,single,female
Amber Mcmahon,40,Information Technology,71890.75,married,male
Kendra Graham,39,Information Technology,78200.45,married,male
Stephen Wood,29,Finance,90903.85,single,female
Rhonda Morrison,65,Human Resource,75789.41,married,male
Donald Clayton,48,Finance,114725.92,married,male
Luis Castillo,63,Human Resource,33088.82,married,female
Yolanda Miller,61,Information Technology,63917.55,married,female
Austin Mosley,59,Marketing,102126.5,single,female
David Tran,55,Marketing,118969.36,single,female
Cindy Powers,23,Information Technology,48199.41,married,female
Benjamin Kim,26,Human Resource,44431.52,married,female
Michelle Sanchez,64,Operations,70068.26,married,female
Matthew Burgess,34,Human Resource,63101.49,married,female
Robert Hill,48,Marketing,80328.53,married,female
Cynthia Allen,27,Information Technology,34415.32,married,female
Janet Rivas,56,Finance,62921.16,married,male
Rebekah Velasquez,31,Finance,51373.89,single,male
Gloria Mitchell,36,Marketing,84163.55,married,female
Ashley Cantu,60,Information Technology,34100.09,single,male
Randy Macias,35,Operations,91822.33,married,male
Amanda Bradley,36,Information Technology,113582.36,single,female
John Camacho,62,Finance,72283.53,married,female
Mary Turner,39,Finance,98858.99,single,female
Amanda Smith,30,Finance,108421.65,single,female
Eric Morales,48,Human Resource,112663.63,single,male
Kimberly Taylor,48,Operations,37376.66,married,male
Ann White,63,Information Technology,61240.22,married,male
Michael Perez,28,Human Resource,109592.42,single,female
Nicole Rice,60,Marketing,77974.81,married,female
Lisa Hanson,38,Finance,87494.89,married,male
Anthony Hill,23,Operations,117912.72,single,female
Theodore Garcia,53,Marketing,111172.03,married,female
Charles Yang,24,Information Technology,52118.42,married,male
Kayla Chen,56,Human Resource,70700.77,single,male
Lydia Fernandez,36,Marketing,33694.91,married,female
Shannon Larson,41,Finance,76743.25,married,male
Randall Rivera,26,Information Technology,90305.19,single,female
Kevin Wilkins,30,Operations,95186.98,married,female
Samuel Mcdonald,54,Operations,62851.85,single,female
Alexa Holland,55,Information Technology,100897.88,married,female
Harry Walker,45,Finance,47989.94,single,female
Shaun Mitchell,21,Operations,35162.54,single,male
Marc Powell,26,Operations,35276.37,married,female
Taylor Salas,62,Operations,43137.16,married,male
Michael Ward,37,Finance,57753.84,married,male
Ashley Barnes,21,Information Technology,71710.32,single,female
Raymond Kennedy,30,Finance,92309.22,married,male
Eric Lewis,59,Operations,89408.52,single,male
Michael Ray DDS,33,Finance,41467.88,married,male
Zachary Ibarra,50,Finance,117471.01,single,female
David Horton,52,Finance,87313.95,married,male
Casey Morales,31,Marketing,73302.13,married,male
Mark Taylor,47,Marketing,36249.21,married,male
Max Clark,30,Information Technology,42674.81,single,male
Kiara Rivera,23,Human Resource,93377.1,married,male
Deborah Ross,33,Human Resource,111367.16,married,male
Linda Jimenez,22,Operations,89936.47,married,male
Shannon Griffith DVM,22,Marketing,35080.41,single,female
Brian Vega,56,Information Technology,112135.31,married,female
Melanie Holloway,51,Operations,36678.19,single,female
Stephen Kirby,45,Finance,97753.12,single,female
Gary Turner,38,Human Resource,107266.49,married,male
Randy Hill,59,Marketing,76388.16,married,male
Phillip Hall,19,Finance,113368.42,married,female
Cynthia Morgan,19,Human Resource,54533.14,married,male
Dana Davis,32,Marketing,80642.2,single,female
Jennifer Mcintyre,19,Operations,84125.7,single,male
Chris Lee,60,Marketing,57525.38,married,female
Jeremy Rodriguez,60,Human Resource,79516.1,married,female
Haley Potter,41,Marketing,109514.89,single,male
Taylor Wang,54,Operations,64737.26,single,female
Carlos Zuniga,39,Human Resource,66841.24,single,female
Kevin Taylor,37,Marketing,64655.49,married,male
Charles Flores,58,Information Technology,42122.53,married,female
April Lopez,24,Information Technology,109521.67,single,female
Ashley Nguyen,34,Information Technology,57207.44,single,male
Donna Patel,23,Operations,31284.61,single,female
Allison Small,34,Operations,52949.02,married,male
Kevin Downs,51,Information Technology,37262.98,married,male
Daniel Stevenson,33,Operations,112735.61,married,female
Steve Carter,54,Finance,73849.86,single,female
Aaron Turner,65,Finance,50419.78,married,female
Michele Nielsen,30,Finance,105758.67,single,male
Robert Woods,34,Information Technology,118037.63,single,male
Tyler Aguirre,35,Marketing,84255.75,single,female
Andrea Holmes,43,Finance,33121.13,single,female
Steven Cook,21,Finance,78478.27,married,male
Sara Craig,44,Marketing,54832.94,married,female
Jennifer Campbell,42,Information Technology,99303.84,married,female
Leroy Roberson,39,Marketing,106858.9,married,female
Cynthia Lynch,23,Information Technology,108857.94,single,male
William Jackson,23,Information Technology,62793.59,married,male
Elizabeth Poole,65,Operations,100939.32,single,male
Thomas Bond,45,Human Resource,105171.57,single,male
Ana Mccormick,56,Human Resource,55585.38,single,female
Darius Booker,48,Finance,112780.62,single,male
Jennifer Smith,35,Human Resource,109389.07,married,female
Dennis Jones,51,Human Resource,47919.04,married,female
Mary Monroe,25,Operations,97464.8,married,female
Danielle Galvan,42,Information Technology,31795.74,single,female
Angel Thompson,52,Operations,57561.54,single,female
Robert Williams,43,Information Technology,46458.22,single,male
Jose Thomas,63,Finance,76876.93,married,female
Jeffrey Burns DDS,36,Marketing,79692.75,married,male
Jonathan House,37,Operations,80950.24,married,female
Jonathan Pope,47,Operations,70279.97,married,male
Jacob Mckee,37,Marketing,83026.03,married,male
Mason Pitts,31,Human Resource,62603.26,single,male
Jose Ward,38,Marketing,78542,married,female
Seth Hoover,39,Information Technology,33896.29,married,female
Elijah Fox,19,Human Resource,102136.72,married,female
Kevin Ortega,35,Finance,47179.11,married,female
Joshua Cook,36,Operations,97542.41,married,male
Zachary Sweeney,46,Marketing,89773.98,single,male
Connie Kidd,36,Marketing,79756.45,married,male
Renee Moore,54,Finance,34362.8,single,male
Tommy Zamora,56,Operations,58184.28,single,male
Tiffany Gonzalez,45,Marketing,52180.96,married,female
Michael Bernard,63,Finance,93290.77,married,male
Roberto Lambert,28,Operations,97607.54,single,male
Danielle Olson,49,Finance,65982.01,married,female
Jeremy Randall,42,Operations,41645.28,single,female
Sandra Ware,43,Finance,40054.46,married,female
Melanie Wheeler,58,Operations,31697.6,married,female
Nicole Kirk,51,Human Resource,32392.13,married,male
Thomas Bryant,24,Human Resource,33106.3,married,male
James Harding,22,Operations,62395.64,married,female
Richard Hernandez MD,45,Human Resource,85349.02,single,male
David Anderson,53,Human Resource,53946.51,married,male
Julia Ryan,27,Human Resource,36764.54,single,male
Amanda Brown,57,Human Resource,51634.46,single,female
Mary Mathews,42,Information Technology,75996.84,married,male
Jeremy Vaughan,46,Human Resource,98013.15,single,male
Edward Blackburn,65,Human Resource,82349.48,married,male
Traci Leach,47,Human Resource,85332.5,married,female
Nancy Reid,36,Information Technology,106440.46,married,male
Joshua Walker,55,Human Resource,115009.81,single,male
Julie Bailey,42,Human Resource,60201.78,married,male
Kristen Shah,56,Human Resource,71042.91,married,female
Amy Tran,40,Human Resource,88219.41,single,male
Nicholas Jacobs,32,Finance,96661.38,married,female
Joshua Fry,27,Information Technology,99653.81,married,male
Leonard Cole,31,Marketing,80684.12,married,male
Darren Rodriguez,22,Finance,105920.78,married,female
Tim Roberts,24,Human Resource,73427.43,married,male
Erin Campbell,19,Operations,36463.98,single,male
Lauren Shepherd,45,Operations,48664.29,married,female
Marissa Oliver,60,Human Resource,92892.79,married,male
Laura Ochoa,54,Operations,104615.81,married,female
Victoria Snyder,26,Marketing,31132.97,married,male
Sarah Castaneda,65,Marketing,74216.97,married,female
Christine Castillo,55,Operations,88342.82,married,female
Kimberly Baker,39,Operations,33541.26,single,female
Yvette Mayo,32,Information Technology,106343.19,single,female
Vanessa Sullivan,25,Operations,71444.77,married,male
Todd Ramirez,40,Human Resource,76680.99,married,female
Daniel Stephens,36,Finance,113058.76,single,male
Darin Wood,35,Marketing,66925.04,single,female
Carlos Valdez,55,Human Resource,75623.94,single,male
David White,41,Finance,117806.49,married,female
Patricia Jones,19,Human Resource,71879.02,single,female
Eric Lester,30,Finance,82261.63,married,male
Terri Smith,29,Human Resource,60407.26,married,female
Jeffrey Johnson,41,Information Technology,80996.58,married,female
Lindsey Hall,18,Human Resource,103465.09,single,male
Kelly Pearson,35,Human Resource,112117.35,married,male
Mitchell Austin,31,Marketing,56030.96,single,female
Tracy Weaver,32,Human Resource,39492.25,single,male
Theresa Moore,64,Information Technology,58008.43,single,male
Grace Wilson,55,Information Technology,36092.69,married,female
Kevin Frazier,43,Human Resource,109009.96,single,male
David Dixon,49,Marketing,49415.36,single,female
Sarah Nguyen,36,Finance,69484.5,single,female
Katherine Garcia,42,Marketing,99182.13,single,male
James Harris,27,Operations,33904.42,single,female
Tamara Douglas,62,Information Technology,40856.04,married,female
Lucas Chambers,23,Operations,89241.69,married,female
Joseph Farmer,54,Human Resource,32157.21,single,female
Denise Walter,58,Human Resource,97694.94,married,female
Dr. Bailey Powers MD,26,Human Resource,51974.54,married,male
Nathan Carter,45,Human Resource,73804.35,married,female
Paul Roman,37,Human Resource,68707.21,single,male
Alexander Hahn,18,Information Technology,61874.95,single,male
Angela Mckee,46,Human Resource,106833.47,single,female
Michael Richardson,38,Human Resource,30567.57,married,female
Lisa Eaton,20,Operations,108911.01,married,female
James Bradford,46,Human Resource,45616.49,married,male
David Williams,33,Marketing,73633.4,married,male
Amy Brown,44,Operations,33506.5,married,male
Brandon Kent,63,Information Technology,114389.15,single,male
Brandon Rivera,65,Finance,89683.37,married,male
Dr. Molly Adams,19,Information Technology,83675.25,single,female
Norman Grant,51,Finance,42072.76,married,male
Jeremy Ward,37,Marketing,100660.21,single,male
Douglas Bradshaw,57,Marketing,101682.67,married,male
Russell Newman,31,Information Technology,68416.91,married,male
Stephen Baker,36,Finance,61031.66,single,male
Chris Bradford,18,Operations,46751.23,married,male
Leslie Perkins,43,Finance,59268.42,single,female
David Hernandez,37,Finance,32210.63,married,male
Deborah Perez,41,Human Resource,83706.99,married,male
Joseph Hunter,58,Marketing,75888.84,married,male
Amanda Smith,36,Operations,104327.93,married,female
Stephen Avery,25,Human Resource,103437.67,married,female
April Haas,57,Marketing,73108.12,married,male
Craig Herman,63,Marketing,110093.66,married,male
Amanda Robinson,31,Finance,82830.56,married,female
Dennis Marsh,60,Human Resource,53072.16,single,female
Pamela Little,62,Finance,73715.83,single,male
Samantha Smith,52,Finance,49050.1,single,female
Anna Shelton,29,Operations,68311.35,married,male
David Estrada,39,Finance,95396.19,married,male
Erin Vance,65,Operations,103487.05,married,male
Kimberly Thomas,32,Finance,59999.8,married,female
Alfred Tran,37,Marketing,47142.39,married,male
Angel Green,41,Human Resource,74399.05,single,female
Lisa Parker,19,Marketing,90616.48,married,male
